Store,Analyst,Industry,Type,Title,Link,Published,Summary
Barnes and Noble,Ashwin Nair,Mass Merchandisers,Opening,Barnes & Noble to open downtown Seattle store Wednesday - KING5.com,https://news.google.com/rss/articles/CBMiywFBVV95cUxNek1GMEx2T1gxTE42VlVvV2RHeHVEaDZYVHNuOHRiQk5JN3BOZWxBYkhUcktiMFp4NkhCMXY5QXJQYTllZXZkWWRCYlNUOHV2N3ZWWEEzeDVjVnBkNkZ5WEJ0RnN4dmpfczlzNElwREdtRlk1cDM3RnhJSlZBOThud05EQnI5eW42Wl9LYThWZlFUTHhMODRWLW9kaUgxZ1JJQmtSZ3lkX2lwZnBTSDRHQmw5dzRtYWNHLTdNZFE1YTlMQ3N2MzdvMEdaSQ?oc=5,"Wed, 06 May 2026 15:12:00 GMT",Barnes & Noble to open downtown Seattle store Wednesday KING5.com
Barnes and Noble,Ashwin Nair,Mass Merchandisers,Opening,New Barnes and Noble store set to open in downtown Seattle - KING5.com,https://news.google.com/rss/articles/CBMi1AFBVV95cUxONEFCaUdXcE1wQzFlZUlvZlJuYjJIS0xVbk0wejdoTkpRQU1fQXlsdFBUVmhjVDBtZkNicTJUREJEbWpqblRyZGdDTEVGaXFBa3ktVHRJckFDTWZJeDRqa1RicFZZeE9heF9iMzdHSjNmZjg4Sm5NYXBqRW0wcWc1djh1VU9ZOGVadnpEc25NSW04bzJpdXFHWXZjOUM1S0ZKM2JkQ1YwVjhPeGRkMWl5ek5NQXVKNGZQZmd0WWozQmZhSmhOU19SaFZ5SUpwWnE1RGhVbA?oc=5,"Wed, 06 May 2026 14:04:00 GMT",New Barnes and Noble store set to open in downtown Seattle KING5.com
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,"[ARS] BJ's Wholesale Club Holdings, Inc. SEC Filing - Stock Titan",https://news.google.com/rss/articles/CBMiqwFBVV95cUxORVdyQ01TWEIxSjR1bUVPMUQ2OHctUEEtZWJ4bTE4YlZfNWFmekJKQXNGY3ZBVk5tMlltUUcwZnRfUlNBZVdUQkszZU9jOFNiZGZXaV9ZNXY1Mk9CNUdGSmotQ3JqTDVDM0JZR0lIRUxCQ2NIMTBOS3BncXhzS2ZUQV9kWUlFZGlXejhSdHJKX0w0ZWY5SG42LTVFQ3QtZ3JOLVNJYVlyRzFGTjQ?oc=5,"Wed, 06 May 2026 16:36:03 GMT","[ARS] BJ's Wholesale Club Holdings, Inc. SEC Filing Stock Titan"
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,BJ’s Wholesale Club announces May 8 grand opening for new Waxahachie location - Waxahachie Sun,https://news.google.com/rss/articles/CBMi-gFBVV95cUxPOFlQTFpub2JaSVRONVJxdTNuMjlvOWlBQUlZNllobHZXajRPZlFqQlh3cHJpRUpEVjJKYWRER292aUFEcmZ3WkZiWXdySWxiTDhlLTJuRkJ2STFBQ1FORzNyUXg3WXMyS3F5cmtnY1ZxUjNyRm9JQjlEdnE3S2tEczBCRV9HQkpXbl9CVUU1R004VHFkdDdlY1dBUElLZjY2SUpvY21jZ1ZMVHMxWWEyX0JDVzBPWE1OSmM3V0xtSHpILWhNeVZGdHlrcWpzalF6WS1xUVlHUGtfa1VaTVl0aG5manRUYjRQMVcxclpva05sTndlazFybEhR?oc=5,"Wed, 06 May 2026 13:00:00 GMT",BJ’s Wholesale Club announces May 8 grand opening for new Waxahachie location Waxahachie Sun
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,Burlington to open over two dozen new stores across country in May - Fox Business,https://news.google.com/rss/articles/CBMikgFBVV95cUxONFpya1RjV3lSOC0wbTlhNmNFdXpWUEpUdHQ4dVE3Z1RTQ0NFOElsSkhXTGgzZVpRTWdnUWQ3S0o2LVAyb1p2dHBXSjNHU1lBRUFvVjdNRTgzemdZbE1Dd0ZUaWpNSk96Y1pNNUFfTUkyblZtNmJxS3ZmUnVVb2ZFajJqNkU5MGZ1enVHVldLUXkxd9IBlwFBVV95cUxOLTRGdHAxWV9IVk4zbG5abVc5VFdtWlFPTVI2RXFjOXNHZldHcUhIR2l2clNzSnZMMUwtZHZ0eFBualpHZzUyb1p6bk5TNjRLWGZ2NHRwRktkSnRSaUdOS3hIWldicVFLd19TVUpONkJ5R0JsM1FiQmZJRXRUNnBwRUtNcWY1YUU1RUdjN3VjZ3hoYXBjYksw?oc=5,"Wed, 06 May 2026 19:38:00 GMT",Burlington to open over two dozen new stores across country in May Fox Business
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,"Burlington snaps up former Joann location and throws doors open to massive 35,367-square-foot store - the-sun.com",https://news.google.com/rss/articles/CBMipAFBVV95cUxOamNWbzBYcjZLMmZNWkxEc0xXNDh4eUVLTUlQMmgwUmphNU80cFdVS0dKQzZZSzZKYVJRTXFNTElXcXlzR014cmtreEpSd0dCcGdFV3FidHpwRWlfb1JnekctdDdaaHFiVkozUk5lVVFfaFFaYXVlRHBuNExMYUxIcUpHaEtTYW9LVkJzX2xybFNMUm9rWlVQLXFWR0V6WnBrMVljTA?oc=5,"Wed, 06 May 2026 17:23:59 GMT","Burlington snaps up former Joann location and throws doors open to massive 35,367-square-foot store the-sun.com"
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,Burlington opening 26 stores across 20 states in May — here are the locations - Chain Store Age,https://news.google.com/rss/articles/CBMimgFBVV95cUxOMmE0WXF0R3ljX0VERlFNUkFITThSSmdaUU93dS1sekc4ZDlfNExSZWpqQUxQeDNiVG9BYThHVGh1c1FFZG9VUEFtM0xNTWpNY00zdTRGUElIdHFGZDItUGN4LVNUYVB6ckRFSEhUbU1EWDZXTEIzVFJKckl5SjhHdDdrbmVvQy1Rc3dQUzBPdzl3aXNzYmh2QkZn?oc=5,"Thu, 07 May 2026 19:47:35 GMT",Burlington opening 26 stores across 20 states in May — here are the locations Chain Store Age
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,Burlington to Open 40+ New Stores by July 4 Holiday - Retail TouchPoints,https://news.google.com/rss/articles/CBMingFBVV95cUxQd1dyMTRUX0x1UmNFdkF3X1VyR1ZzeF9ERUZHOEZIVmdGOVlVUTdvS0l1ejZEOTd2R25HT2M0LWRPeGRpT2ZWRGM2dDExRC11MHJSczNsc0Y3TDM5Y1N5WUFFcms3RllJTFN3c2ltZnMxYUlkT3g4UmlaNmVxdTlaaXRlV1RPYnpXaXZCdWtKcE5xa2RLeHQyb0pLSEVPQQ?oc=5,"Thu, 07 May 2026 17:48:39 GMT",Burlington to Open 40+ New Stores by July 4 Holiday Retail TouchPoints
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,New Burlington stores coming to New York. Here’s where - The Journal News | lohud.com,https://news.google.com/rss/articles/CBMirwFBVV95cUxNZ2pyY2hOWGpsdGktYjBFWXFDUW1CY3p5UFl4STFHOGJPYTJHX2ZwTWF0b0wxOVM4Rl9Zd3JBWERONjZseEhqUFBXdXNUWm40MU1QSGZqcngtUHB0LURLS2IzaUREa0R4YWV0QXp4cFNhLTNvV19nVzlfb2dPSjNkVTUwQS1kX2dwS0hzc0NnYmEwbTVwcmxhdllyLUJCQ3JzVGlROV9FemFRN2Q4R3JB?oc=5,"Thu, 07 May 2026 07:36:00 GMT",New Burlington stores coming to New York. Here’s where The Journal News | lohud.com
Costco Wholesale Corp.,Ashwin Nair,Mass Merchandisers,Opening,Costco Wholesale Corp Expansion Boom: First Costco in Milwaukee County Set to Break Ground — Massive Project to Transform Franklin by 2026 - Nbsla.ca,https://news.google.com/rss/articles/CBMiXkFVX3lxTFBSSUJ6Yl9PS0loZ2xoX3gwUnAyMlV5Wldyby1ES25OYlpZNF9raEo0WWllNUxXVXZGWEVpcVJKcDl6NWxjbVhZN192SThNSnR1anA3UnpBekQzQ0dKd1E?oc=5,"Wed, 06 May 2026 08:54:22 GMT",Costco Wholesale Corp Expansion Boom: First Costco in Milwaukee County Set to Break Ground — Massive Project to Transform Franklin by 2026 Nbsla.ca
