Store,Analyst,Type,Title,Link,Published,Summary
Academy Sports + Outdoors,Ashwin Nair,Opening,"Academy Sports and Outdoors plans up to 25 new stores in 2026, including several in Texas - KHOU",https://news.google.com/rss/articles/CBMi6gFBVV95cUxNYVY1VjZkZDZzeGptLV9qbDdJaFl2U0JXa1dWWlNGQUQxaEtlUmVfVWtXZjlyOHFxSWFlVzhaTC1UcXpvdFZ4bm13WmdYYUttNm14S2hENXhfYVNBRVdxSEN3UVFhZUw4ZWg4ZmxvbFZ1WjBsSXVXQzdEYWNnN05DV0dlc0RVaHNQeHl0N01KOFJWWVJhQk1EMjdzejNSZWE5Y2ZFa01yMnFqcWNjSHQ2RWZEM2pwcWVmOEF6RjI2Mkp1QThtTG5VN211SThOTzc3bXNyMEEyanZSTzlfblNLX0RxOHhNVTk1SGc?oc=5,"Thu, 19 Mar 2026 15:23:00 GMT","Academy Sports and Outdoors plans up to 25 new stores in 2026, including several in Texas KHOU"
Academy Sports + Outdoors,Ashwin Nair,Opening,"Academy Sports and Outdoors plans up to 25 new stores in 2026, including several in Texas - The Business Journals",https://news.google.com/rss/articles/CBMipAFBVV95cUxPUXNlaUZYYUhvczdqNXd6NV83dTNQNTY3Um9YZTJSd1c2NlpiZEhVUm5ueV95ZGJES2hXNl9ULWl5dlplMGxid0N3WTIzV1ZES3JpODVxOTBBZ1ZSdjcxWndLZU1KZUxJaXNCcFpROWxHWHdhMVFwTVE3VmlENTFQX0p1QzFwdm9melNyNGhRbVpHeGVKQlYwdmZXcUcxUDVCNDVtQQ?oc=5,"Thu, 19 Mar 2026 08:00:00 GMT","Academy Sports and Outdoors plans up to 25 new stores in 2026, including several in Texas The Business Journals"
Academy Sports + Outdoors,Ashwin Nair,Opening,Katy Based Academy Sports + Outdoors Continues Expansion - Covering Katy News,https://news.google.com/rss/articles/CBMimwFBVV95cUxPek5hMFpLd3dnemdEelJqZmpkME5lbFBHelpkVXVvTlJ6YTVyQXJERmttUmtSTW93VkhYV2ZfUDd0eXNzQWpvZGZCSnNGMXlQV1JwQzJGRUtGUXJicVREQUs1MkRGazZhdVpvTm02bFBScy12UHRtZ1hOcXR6OXpmQXp2SzhadENMTEZyMXYtd1dLQXduSDkxbjRfdw?oc=5,"Fri, 20 Mar 2026 19:26:44 GMT",Katy Based Academy Sports + Outdoors Continues Expansion Covering Katy News
Academy Sports + Outdoors,Ashwin Nair,Closing,A Look At Academy Sports And Outdoors (ASO) Valuation After Recent Share Price Softness - Yahoo Finance,https://news.google.com/rss/articles/CBMingFBVV95cUxQLVZ3Y3dRcUowSmhiSlF3aUl3MjQxNE1ZWWlkWFA0NE42SW9SVm56YzJBYVlsdXRDZU1Gb2VQMGxaYWEwT2ZkRy1QLXEtZ0NlR1pxWU1XUy13UGxxUWVoZ2FFODJnWFZKeUZWUmY3eGFkUEdwTUNWWU5ETFZRS0dZYVZ3UjBTMDVBZ2d4eF9qNFA0QkFoenZvVHpHT3A1UQ?oc=5,"Thu, 19 Mar 2026 05:07:00 GMT",A Look At Academy Sports And Outdoors (ASO) Valuation After Recent Share Price Softness Yahoo Finance
BJ's Wholesale Club,Ashwin Nair,Closing,A Look At BJ’s Wholesale Club (BJ) Valuation After Cautious Earnings And Guidance Misses - simplywall.st,https://news.google.com/rss/articles/CBMi5wFBVV95cUxNSlFtNDRUYWx5NmVKV0RHOUtYNmg5ZklCdVFxMUd5LXFvSEpOa3RNWTA3VDJLd1NuUUczOFJFRm5MWjVtb0E4VGdqbUVoWk84T3RWY0NvdEgtYmlMS0NyOG1KQ0N0UHZKQml3V2pnOVRKUjAxbmtDcGgxV0dSc1A3RUY1SXpNUFhEUXZ0WFFOVk5VMk1XY2V1YmgwWE5TQkpTakRIM1RTanN3MG8xQlJWTG1MZ1FjU3dyNkM4SGRBZVRjUDFwT0drTExyOW9XbFpkbzlYSTZZWE5TWDNycTYxZnNpSktBRXPSAewBQVVfeXFMTUFqZzVkbUdoR2dzR2ZSYUhDSHFuWTloem14VVg4VXBDN1JGMUMtRzhrd0RpcnZqRXhxRVNDMU5UTkpGN3B5VFM5d2VHbzVrQU1WVXgzNHFKaHNGWHJwV2xBdEtLNTgzVkIyNXRwUHgyeWx1bXh3cGs5RGY4OXpNNENvbVhET09aRUt3cEJCNFpuZFdVM3ZpY3dvNnY5SG05a0p2RHlKbk0xZTZGZEg5bWhQZnFQaWtPQXRRZkpWS0V4M3I5RzNxNlhjUC1WVVdueHY2QXVxXzhkTzg3bnFLQWJETjB5TDdQY1g1Q3Y?oc=5,"Fri, 20 Mar 2026 04:34:15 GMT",A Look At BJ’s Wholesale Club (BJ) Valuation After Cautious Earnings And Guidance Misses simplywall.st
Burlington Stores,Ashwin Nair,Opening,Discount retailer Burlington to open new store in Avondale - KTAR News 92.3 FM,https://news.google.com/rss/articles/CBMigAFBVV95cUxPaGZCRldZRFBrbDd0QVBTVDVoYWRlbmF6bEs0cXVHOXZqQlg2VE8yQVVGdFE5c3RkZVJwUDhmM3pGMkRCbTlkR3JaWWhQUTlSQjJZakRWY3Frc2FqSWgzZi1jdUNMUmUyOFFkLWktLUJRMi1POXFyWUtISUFRYzVaWA?oc=5,"Thu, 19 Mar 2026 18:12:28 GMT",Discount retailer Burlington to open new store in Avondale KTAR News 92.3 FM
Burlington Stores,Ashwin Nair,Opening,Burlington to open Eau Claire location spring 2026 - WEAU,https://news.google.com/rss/articles/CBMihwFBVV95cUxOVkZEdFA4MGZIUllMOWUxQ1ZXUFRzWGZlaFZYc2VUbnBXZUtWdDR3S3QzamNQZ1pBSTN1ZDFiOGRxV09lM09VT09CYWZQSFlxdUVSZDZxN2tEX2E1Xzk4ZHZabldMU0dzMUR5blVndmdDZ3JzMTFtbVhpSC1CT1g2OGhaY3lyU03SAZsBQVVfeXFMUFhEdFltdERaZzN5aXVXcWJjd3JwSC1pU2twY3ktVUpEQTUzTHRpM3EtLV9taXh5QXlnNFZGMW00UFZnVVpsNExBbWJjTEtMeWZSTU9rTjVZa3h5QnY4NU9Od1ZXWXNNZkl2SkhVc2toM2dnZ2cxMldXaThSRS12eklRR05XNlhwTG5hV2R0X3FqT1RLOXd1aHZwdDg?oc=5,"Thu, 19 Mar 2026 15:42:00 GMT",Burlington to open Eau Claire location spring 2026 WEAU
Dollar Tree,Ashwin Nair,Opening,OPENING SOON: Dollar Tree On Dougall - windsoriteDOTca News,https://news.google.com/rss/articles/CBMiRkFVX3lxTE9ZZm9yYXkwcDFhR3RaV1VQcklxWW5LRUNvY0JrYm5VMG9vZ3BDeUNUVkx6SXFyOXp2SThZTDNfckw2d3M2NEE?oc=5,"Sat, 21 Mar 2026 13:21:54 GMT",OPENING SOON: Dollar Tree On Dougall windsoriteDOTca News
Publix Super Markets,Ashwin Nair,Opening,Publix to open 5 new stores by end of April. See upcoming locations. - USA Today,https://news.google.com/rss/articles/CBMijwFBVV95cUxOZERRWDcyeDk3RjN6Y2ZkN2ZZYkVqMkw0Tmt5YkJwa3V3OUE1dXRNa1J5cHhuM1lNNXV2MnpGdmJBMlgweDFWM2I3cmpObVZienB2d3N0MV9ub0ZoUFZhXzE0cm9XSmlIMzUyMExQTnVjUHR2c0xRZFdrVF95Q19VVjRrM19YSlBQVG5kQVNCZw?oc=5,"Sat, 21 Mar 2026 15:44:00 GMT",Publix to open 5 new stores by end of April. See upcoming locations. USA Today
Autozone,Komal Agrawal,Closing,'We Went To Walmart': Man Goes To AutoZone. Then He Learns Something Shocking About Fram - Motor1.com,https://news.google.com/rss/articles/CBMikAFBVV95cUxQc1dpRXdWQWlJbkF6amlGdHBwaHVoMFFCLVFrRjhWTWktaXRwNXd6aV96VGRfUWp6TU04TEh3SGdYYWJJQWg5SFVtRUxacU9oVjRoaUpCLUFrMlB0WnZxM09VZElrZUFJZFhHTUNWZ2w0THBNa3BMSXZvY3B1bzZvald2allMbFRFaEo0X2l0bWo?oc=5,"Thu, 19 Mar 2026 11:00:00 GMT",'We Went To Walmart': Man Goes To AutoZone. Then He Learns Something Shocking About Fram Motor1.com
