Store,Analyst,Type,Title,Link,Published,Summary
BJ's Wholesale Club,Ashwin Nair,Opening,Costco rival BJ’s debuts in Texas as warehouse wars heat up - MySA,https://news.google.com/rss/articles/CBMilgFBVV95cUxNYlIzOS1jaGNNQ1hqZW5GM194UWlOTXFPNC1odUdORnlIc2xDXzl0RF9XZ28ybGZHLWFQUndmelgxUEJVRnFuYnRZX0lUbGRkR3NneGNzdUtSQnpiVjBwMEdiUVc3YkNPLTJfT2JsZkJ3ZmJWS1JWNTZTVjlnLUVOX3NBSmQ1Qm5fc0t0dTA5a1ZnNDZKUnc?oc=5,"Sat, 18 Apr 2026 15:24:20 GMT",Costco rival BJ’s debuts in Texas as warehouse wars heat up MySA
BJ's Wholesale Club,Ashwin Nair,Opening,"'Costco, Hold My Beer': New Wholesale Club Saunters into Forney with $2 Gas (for 1 Day Only) - Dallas Observer",https://news.google.com/rss/articles/CBMiiAFBVV95cUxPeXM2R3cwdXFoQy1fVHdGcnh3Y2MtS2pXMDhfT0Y5eDBjbE9EaGQ4WEc5X3pxeGU4cFlzM0RNZDB4WGw5SHA2ZjBsODBqME14SEFFS0xwODVtczBJQkxLRDI1dDR3aEVtLXFHc0N1YnQyYTJ0SWJZb1lLUERwZTVSSDAzMGlSNG5Q?oc=5,"Sat, 18 Apr 2026 08:03:45 GMT","'Costco, Hold My Beer': New Wholesale Club Saunters into Forney with $2 Gas (for 1 Day Only) Dallas Observer"
BJ's Wholesale Club,Ashwin Nair,Opening,BJ's Wholesale prepares to open first Texas location - WFAA,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPM2VySHV1emJVYktqdTgxRjBBbWNINnEtd2p0QWZHc3I1WEFJMEk1dzJkZWhPREMzSWltaFExQ24zRkNvcDVkRV9OUEdkWENJeXFNSTg0MGdHVDc3cEJoQUhiSU1WZGVPR0k2M2ZnRUpEUXVrWV9IeHJlOVh1TE5WS1pVXzAtdW5reVFPZDlNSVpEVGpIc3NSNUdfejYtd1hidDFEaDRJRkpPbEN0UWZDT2NXUktjMjNoSm1XdFRfN0l1dGZFc2lDR0pWTU1NUTNzLVE?oc=5,"Sat, 18 Apr 2026 03:00:00 GMT",BJ's Wholesale prepares to open first Texas location WFAA
BJ's Wholesale Club,Ashwin Nair,Opening,First Texas BJ's Wholesale Club location offers $2 gas for members - FOX 4 News Dallas-Fort Worth,https://news.google.com/rss/articles/CBMikwFBVV95cUxNWTVwVWhka0dkajM3NE5KS3hpZlVIOGdYOTZUaGFodmZCY1YxcGxaQkV1c2MyYmoySWR0UHNobnJWYy1KbTVTUU1DaVQxMW9kSW4wbWhSRkhVVkZzY0FyQ2lrb2VRSS1vMzRpM01iZk9ycl9RaV9aTnlabGJzOG1URG9icnlnWURoUVRjZlYzRkF4b3PSAZgBQVVfeXFMTk5PVGxJbWNvcHU4b3lMOTZkdE80M3RzRlRKVnVSY19SUXNCYXdoWU4zNTloR0c5enFYMG9oQk1zd2NQWkRxZFc4TUFrY1MzbENVSlRwTENXRmxLV2hoUTdwQkI5Vll4VXZISTZ1czUzX0lwblR1NFNxMDRRNkw3RnhRdURWUTNDN3lXaW1SZ1RDOVVLYXZwSDQ?oc=5,"Sat, 18 Apr 2026 00:58:19 GMT",First Texas BJ's Wholesale Club location offers $2 gas for members FOX 4 News Dallas-Fort Worth
BJ's Wholesale Club,Ashwin Nair,Opening,"BJ’s is coming with 7,000 items — with lots of groceries, some 98-inch TVs and a robot - Dallas News",https://news.google.com/rss/articles/CBMipAFBVV95cUxNdmJsMXFMaE9ELU1xQm5EZ1J0UmFNYWhoaHR5LWpnaXR3eldHbW5tNXpsSll4VFBrcHhDUzBhdzNLZzhaM2FhSnY1QTRWbVVIWGhhd1Y0OHNmZW82dEJ6NUxxZzZOMzZad3R3ZWtpN3NpcWVORUpPUHM0bE5EbXo4V2dZcFpRUjYtRTN4VGNfUzUxN212UVRka2VwUjNINUdSdW9rZQ?oc=5,"Fri, 17 Apr 2026 23:42:18 GMT","BJ’s is coming with 7,000 items — with lots of groceries, some 98-inch TVs and a robot Dallas News"
BJ's Wholesale Club,Ashwin Nair,Opening,Discount chain BJ's Wholesale Club to open first Texas store in Forney - AOL.com,https://news.google.com/rss/articles/CBMifkFVX3lxTE5iNzRVX1JMY0ZhOGRnMmhNWUJOWnpZdmN6bTZ0Yll0RmV5LUJvaURCNkstQWxDdkpSQVRMcGhXUnVfbzlvMmVabjZsNEpaSjRmRzFuM1lnb1N2RHkwaGMxeUhkRGNmakRBVnV4elZrTmpFTENYZzJ4azB2QTN3QQ?oc=5,"Fri, 17 Apr 2026 23:19:48 GMT",Discount chain BJ's Wholesale Club to open first Texas store in Forney AOL.com
BJ's Wholesale Club,Ashwin Nair,Opening,BJ's Wholesale prepares to open first Texas location - The Business Journals,https://news.google.com/rss/articles/CBMipgFBVV95cUxOTmtINXpBR0NpSGdPQXdSbTkxZG9DTkZpZmtsNU8wVUpfQ21VazJxR3c1dE1xRVc1RTZ2dTJEWk1MUHlqYmtYZnV2QmlqUmpyMjlRSExuVzVmVWhHRlJRMGdFVzE1NTRna0Y4VEZJSExwdmE4RGtNNkxPODNOSmpBV1lDQzdwUjZoeWZWNzMzamJ2V1ZYZ2pYT2pNRHV6M01Qek53UVZ3?oc=5,"Fri, 17 Apr 2026 19:51:00 GMT",BJ's Wholesale prepares to open first Texas location The Business Journals
BJ's Wholesale Club,Ashwin Nair,Opening,BJ’s Wholesale Club latest opening will be as big as they come - Supermarket News,https://news.google.com/rss/articles/CBMiqAFBVV95cUxOVV9pLWZOczRGdGxndS13VTkzbG10ZVQwNkFPSDJsUDg0U2NYQ3U3cXdrNDV1ZkR4TkFRY25EY21MSUozNWdtMENRN0JhMUU2OU5qT1FuQkp5bW5BWFozU1BwdG1kV1Q5VGhJaEVfNTQyakJJdFluZ0dJSGpLc3VFOGFqTHI1SmIxejFzX1o3Y291ZEdSdWpCRmV1Qm9jTWxVVnZrd05DbGc?oc=5,"Fri, 17 Apr 2026 17:53:04 GMT",BJ’s Wholesale Club latest opening will be as big as they come Supermarket News
BJ's Wholesale Club,Ashwin Nair,Opening,BJ’s Wholesale Club makes Texas debut — more locations in the works - Chain Store Age,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNYm90VVNWWWZVbGlWVDYzbXpabTZUUVpIMGM0cDRsOEhQSGt5emoyMzFwNmQxc25TWTVsSE1tZk11NXJnNHhXYUh1WEU4TkpfUm96TTUxU0hBX0ZRLXhUNy1nTzh1RFJsRVFmMzJnRERTaTJhRUoyUVlKTURTTTBvcEtIWmdHeFNRR3E0?oc=5,"Fri, 17 Apr 2026 13:49:14 GMT",BJ’s Wholesale Club makes Texas debut — more locations in the works Chain Store Age
BJ's Wholesale Club,Ashwin Nair,Opening,BJ’s Wholesale Club Makes TX Debut With New Store In Forney - The Shelby Report,https://news.google.com/rss/articles/CBMimwFBVV95cUxNTFd3LXBJaWpHblV6LVYtaEg2SWt1VDZ4XzNFMUZyTlYyeVgzUF9VX0swdEVmODlOWnhBVlRWUEs3aFhtSTFxNnJjZFNjN1B5M0VpbldLZG5LZk93aTNHc29DMGs4R0d3SG5SSDhNbko4S3RGeGJUekhzaWk5RExDSkhQM2ltSUM0S3VMNmdHNTdrcFVLZkppemphNA?oc=5,"Fri, 17 Apr 2026 13:42:25 GMT",BJ’s Wholesale Club Makes TX Debut With New Store In Forney The Shelby Report
