Store,Analyst,Industry,Type,Title,Link,Published,Summary
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,"New BJ's locations Texas: Club rivaling Costco, Sam's expands to Texas - USA Today",https://news.google.com/rss/articles/CBMixwFBVV95cUxNdGV4UnhESzlHcWdFeVNpSk9famh6aWhvU1Fxc1hnejJCVlBNa0dFVGF1SmdZalV0aE5RcEtkLXZ4Nkh4MFFKOFhXLTUxUXNXWUQ2aFNUWS1DeVRaMVJuZHp5amx5dWtqZVRBMzBZM1ZYcVhka3RwYW15dFhDV0VaVmFqRjFQY2JFNWhweFZXaHJNMklOS01BTG5LMzFCSTcxMDNrUjB0T0hiVmNhcWZ6dWE4RFpsM3NxR3dwR1FEUmNFMURYUk9z?oc=5,"Wed, 22 Apr 2026 19:23:00 GMT","New BJ's locations Texas: Club rivaling Costco, Sam's expands to Texas USA Today"
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,BJ’s Wholesale Club Makes Texas Debut - Retail & Leisure International,https://news.google.com/rss/articles/CBMibEFVX3lxTFBjMGFjOWdEYXNZa20xdi1LSVh2OUlWNk1zbnRkVlI3cVYyX3NIUThFVlhkWnZWT0k5NzFjSnA4OVRqSDR0Q2RyUWRERWxoZ2ZVN1VvcF93YUNvcG05UlROMmtHZXpvVm9MSi1yVA?oc=5,"Wed, 22 Apr 2026 11:44:40 GMT",BJ’s Wholesale Club Makes Texas Debut Retail & Leisure International
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,Beloved warehouse giant 'more budget-friendly than Costco' to open 30 stores in 2026 - first location coming in DAYS - the-sun.com,https://news.google.com/rss/articles/CBMijwFBVV95cUxPUGZjRWlPWXo0a1J0emZINzAtX1N0VWhzUUJQRGcycnNTWDc3eHNMQi0yMkZCRnkzUVVUQ0gzSng0ZWhWV0N1eUJpbVA0UG9YTFoxd3E4S05xUV9tZTdROGczM3p3M3ZSLWF0Q2lIeGs1NWVOUndRSUpwRjdOTElDb2dQUW5wN3F3MktVcVVHTQ?oc=5,"Tue, 21 Apr 2026 17:49:14 GMT",Beloved warehouse giant 'more budget-friendly than Costco' to open 30 stores in 2026 - first location coming in DAYS the-sun.com
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,BJ’s expands into Texas - Grocery Dive,https://news.google.com/rss/articles/CBMiigFBVV95cUxOZUdhTWI4bmYzM3VyS1E2QXdrd3VwOTREeVo1VFRlaXpXNzJoTXRUR1ktRG1UanpaalpyUWFrRGxnOEVDVmhERWgySHQ3bWZGbWdCRnV2UVRCNUVleWVDcVhuVi1lV1cwT2E5RlVlU3QyYTJBeC04aHNhX0RhaFdMdDBTc3Z0WGxJc3c?oc=5,"Tue, 21 Apr 2026 15:10:01 GMT",BJ’s expands into Texas Grocery Dive
Dick's Sporting Goods,Ashwin Nair,Mass Merchandisers,Opening,Dick's House of Sport opening in Lowell - 5newsonline.com,https://news.google.com/rss/articles/CBMivAFBVV95cUxNUUdSVDVXaUlvczJ3RWlXby1Ca2hnSDg1ZWhRQ3c4c2JHZHlyZHZ1dDdUQ0JyNDQ0ekszcG9OWWF4UEFDbUN3c0p2aWM2WllNUGV4TERZbkJTdnJ6dERoRDJJU3lxWmJtZ0o4OEZlMjZDdGJ1QWNxZk4wVE9ZdXVsMlExOHBVY2daVE5QQlZxaHpMZWhqQ1BBNDFrRHM1MF9LWlpuVkZaU0ZTcXF3aEVQZkY3d0s1Zm0tbEJlMQ?oc=5,"Tue, 21 Apr 2026 14:10:00 GMT",Dick's House of Sport opening in Lowell 5newsonline.com
BP,Komal Agrawal,Convenience Stores / Distributors,Closing,BP shutting down two North Slope pipelines; might need to be replaced - Petroleum News,https://news.google.com/rss/articles/CBMiywFBVV95cUxPenJyWDlBVHdONFE3MjRPNG1HbWwta240UXBXM2pKQjRNX1l6ZkF2OE1NWG5kaFRXMlZWSHB5Tm9ISWFMVlY4MHo0MWFTb0w5RWtqbE9rVlkzOWRyMldMb2ZMRU5DVzI4UlZVUU42Y0dnQklNNUFZY18yVU5NY3pTWVM1RnNjRTltTmkwYU1yMzI5Q0RaMEM0Z2RFZ0V2cnpLN2xqUThPUVpZcV84T3J3OU9EbTcycFU4cUladXBmZV9ySmx6OHpQODlGWQ?oc=5,"Wed, 22 Apr 2026 10:09:18 GMT",BP shutting down two North Slope pipelines; might need to be replaced Petroleum News
BP,Komal Agrawal,Convenience Stores / Distributors,Closing,"Spain's antitrust watchdog shutters probes into BP, Repsol, Moeve - Reuters",https://news.google.com/rss/articles/CBMivAFBVV95cUxOQnc2ckdna0xFcDUxcWtUdFBDMUtmNU9SeFprVUozSGxCWmJCN1lsQS1BaW96dE0tbFlwRmZPOENhWlVxWENTMWRORE0tR05UZWF2Y19uTWZqYWV0T3dtMmZSWUxRbzV5TUNMb0hxeUdKQkNfa2FKSUhNX2g2QnBvdHNXZTkyeldDN2FGVFpnd09ESlR5b3BOc3NvUzdXb0QyLUw1UU43V1JoM2ttT19JSWZqOVlrbWtUSGMzdQ?oc=5,"Tue, 21 Apr 2026 15:40:39 GMT","Spain's antitrust watchdog shutters probes into BP, Repsol, Moeve Reuters"
BP,Komal Agrawal,Convenience Stores / Distributors,Closing,"Spain's antitrust watchdog shutters probes into BP, Repsol, Moeve - MSN",https://news.google.com/rss/articles/CBMiswFBVV95cUxOVWNWVUNnWDcwUU12UEtSMlNEQkNwLU5UTGp1b203QTJmSFc5aFBxMkd5TUZfcVRpTlhVOXlzbVNkQV84STJNTG9TSXV4YkI5eUtKQk9KMXZ5cENmTnpzalJEVllyUjQxQkMyZGpueXNCUGZCQ0hyVGd6TE5YSk9YdTFkZm9fT0dHLTdCcE9aQkh2dnZHT1h5cjZ0WWJrX0dMNXUxUFNGVjVTZFVnbzNCc3c0OA?oc=5,"Tue, 21 Apr 2026 12:34:31 GMT","Spain's antitrust watchdog shutters probes into BP, Repsol, Moeve MSN"
BP,Komal Agrawal,Convenience Stores / Distributors,Closing,"Spain's antitrust watchdog shutters probes into BP, Repsol, Moeve - TradingView",https://news.google.com/rss/articles/CBMizgFBVV95cUxPa2dpZDNuR0ZYT0FfOXZFSmc1UmNzZ1NvaTVCNkEwT1JrZ1YxYnE3Ujg2SmZTM1E3X3Z1TWU3WWlPUlBLaVRrV29WZUZDT0pkYm9GMEFEZG8tTmNLbHZjNFRCY1h1YkMyVjUxbkZqbW5rUHpZelg5RUFZRzlBVTJfSklBZnY1MlFyZXp5MzlqeGdnYWpFX245TFV4Z3hONzhXX3RqcTAzd0Zsb1ZmdnBPV2lkN2l2U0w1Y2hoemZMeFNuUFp2Y3NoYVlWWUZjdw?oc=5,"Tue, 21 Apr 2026 10:54:48 GMT","Spain's antitrust watchdog shutters probes into BP, Repsol, Moeve TradingView"
Giant Food,Komal Agrawal,Grocery,Opening,New outdoor social space and sports bar to open at giant Birmingham food hall - Birmingham Live,https://news.google.com/rss/articles/CBMinwFBVV95cUxQWXk2Unh4R2RXOGJ6bWVUX2J0TTBRNU1DMUl3SWVRbTJnWGdlbjFnU1JDMXliRDNzRUJkeFUzbmU4Qjlrb0RmaTJrQWxYclB0MDA3b2h2Uk44M3R0VjkyNkY0cmJocmNLTGhfOE42d2ctYVdlLTFKQXNyekE2NHRpaGJiOTZzbGkydnh6NGVzZXF3RFlXT05ucGlNWk4zR2fSAaQBQVVfeXFMT1o4czJBcmliZDk0RXlkeURockZuOTlNaENZTE1ha3k2TXFmR0VPQTFFcllYbC1ZVnVZZFhJY1Q5c0RtSkp2bExPOFgwRjlCdG9fNXBJMHFUZ3NVR1NBczQ5bW1JbEJNaGZzUUxOUWJkOFN4T19oTWJoNTRmQlJmN0I4RnAyQ2pZLTYxelhYTFBYcTlxdXFFWnlXdl9NWFgwMkxfeGQ?oc=5,"Wed, 22 Apr 2026 11:43:00 GMT",New outdoor social space and sports bar to open at giant Birmingham food hall Birmingham Live
Marshalls,Bhavesh Phulwani,Mass Merchandisers,Opening,TJ Maxx ‘sister store’ to open 4 new spots by April 30 – see list of locations - the-sun.com,https://news.google.com/rss/articles/CBMihwFBVV95cUxPa2dCZ19GcnVDVHEtRWFDajJlU3RsUEptTEt5bFlsbnR6YVIwR0pBcFM3QndCU0xqajJ1YzZ4eWlzaDlseExKQVM5S0MyNTBOM0NFdVlsTWNJbVpfOUZQVjZLMGY3LXVQVzdiazhCR3JGTjZkTGZRa2J4VWFpZko0dFU1ZERKeEk?oc=5,"Wed, 22 Apr 2026 21:28:53 GMT",TJ Maxx ‘sister store’ to open 4 new spots by April 30 – see list of locations the-sun.com
