Store,Analyst,Industry,Type,Title,Link,Published,Summary
Barnes and Noble,Ashwin Nair,Mass Merchandisers,Opening,Barnes and Noble to open brand new bookstore with cafe in sprawling development in WEEKS - the-sun.com,https://news.google.com/rss/articles/CBMifkFVX3lxTFAyWlY3OEZGblV4T1ZRV0pYS0libG8zdkhyT3g5RDJ2R0d0cHZFMzFLdS10UnZWVXNPNnJOQmw3SWdWX0VpcGxpbllBM2Z0eFA4NlZ0NE5CNnJUQ0V1QWhiM3ZIaEc2OHpiTUtFbnNaQzlhZ2xHQXNMVVJISnFiUQ?oc=5,"Sun, 03 May 2026 12:31:36 GMT",Barnes and Noble to open brand new bookstore with cafe in sprawling development in WEEKS the-sun.com
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,New Texas BJ's Wholesale Club location offers $2 gas for members - FOX 4 News Dallas-Fort Worth,https://news.google.com/rss/articles/CBMikgFBVV95cUxPeWd1NnBnQVdERXZ4bVFocUhsNE8zU2RGR0NXZUYtZ3VQR1Nod0xzRFlfUjJUdU1VU2tyQ2tvM25hdzNWUllzRzdPankyajc3MThDQ2k0Nkw0TzBKQ2RPRzFxSkZadjBleFBsd3lvcFVySXJmbWo0bml3RTJKcEhBQ095bUNNX01XMUl1SGxpOGxpUdIBlwFBVV95cUxPX0M3R1dKb2UzcjMwY2FnLW53MnlQdVAxUHl1bTE3NnBGcERVZmdHVHFvTHJ4eXhMTjN0VjV4SzJEN3lmUjhwWnFoak81ZUNvTXlrN3dMdkF4VUxwVkVzVmxpNHRLb1lQSXZ3Z21mLUpuLUJHanpSRzNrNk1SaENrV2dWRXY5QVhiUTVGc2VQNEF1ejBEUmFV?oc=5,"Sat, 02 May 2026 16:45:47 GMT",New Texas BJ's Wholesale Club location offers $2 gas for members FOX 4 News Dallas-Fort Worth
Dick's Sporting Goods,Ashwin Nair,Mass Merchandisers,Opening,Dick’s House of Sport plans Joliet location with multi-million tax incentive package - Shaw Local,https://news.google.com/rss/articles/CBMi0wFBVV95cUxQNGFLbGZYMWtyTVJ0Z1h6b3hpWG5YNDRFWWswNkJjN2Q3ZzdoSlBLbW11N0gyOWRzVV9IMDFaN3NjTWxMMU4wclNVODhSVGdQYk5JUXBnUWFuUW9KUWdhTWt1MWRGR0dCZEdudFN5c0VPeXBDal9Oa1BrTWx3Mm1hbFR1RlB4Y0EwSEVJUmtQRGJKejd0VEwwS1lHa2txNHdRY2MxcEprZF8yanhRM0xKamRkaS10ZlRhaU9jZWswal9NVndDSEUtN1BWV0hnNlozSGNR?oc=5,"Sat, 02 May 2026 01:29:00 GMT",Dick’s House of Sport plans Joliet location with multi-million tax incentive package Shaw Local
Dick's Sporting Goods,Ashwin Nair,Mass Merchandisers,Closing,Dick's Sporting Goods Pittsburgh Marathon Weekend: Road closures & Detours - WTAE,https://news.google.com/rss/articles/CBMijAFBVV95cUxQOXFwTnFES285Vlo1cGRRRVc0UXhfRHVwTnA2VTIxZkxIYUNqZHZRSFdsT0YtVEVpM29oaDF5SFBvd1lVcU4yUXpGaEVNNzFvWVBhZkdjTkp6dlcwcUpPWFM5cnNRUUZ0dV92cUFTUHU0M2tjWnhSQktYZ01Bc2szZlcxU3FxemdvWDFDeg?oc=5,"Sun, 03 May 2026 08:39:00 GMT",Dick's Sporting Goods Pittsburgh Marathon Weekend: Road closures & Detours WTAE
Walgreens,Komal Agrawal,Drug Retailers,Closing,"Walgreens among trusted stores shutting down in April, leaving employees and customers affected - MSN",https://news.google.com/rss/articles/CBMi4gFBVV95cUxQSjdHS1FMYVkwZmtRdTlkU25SNXZsY3J4OXV1T1lFd3FFWURzcEhmVzYwSkd3N0pXODZSeGxlYzN2OTFNbnFWSWhzWXhneFp2SjJqb1RhS1FSMVZWODVpMDlqVFR2LVNYXzd1WXdsLVJUZDBVcjlNVVEtd2NNM3B6S1Npdm1pR0ZWWWZGd1IwOU9yNnZ2T0FCRzFaRG5sT2hhYy1uekJSLTI4NjFvQUR6VVk1eTFOdEZTaTdmeWduMXZUbXBWUFdLenZ2RjFuX1AwSXJKVUJyZ2ZQeDdjR21PTWtR?oc=5,"Sat, 02 May 2026 12:15:41 GMT","Walgreens among trusted stores shutting down in April, leaving employees and customers affected MSN"
O'Reilly Auto Parts,Bhavesh Phulwani,Mass Merchandisers,Opening,O'Reilly Auto Parts to open its 52nd CT store at the Milford Plaza - MSN,https://news.google.com/rss/articles/CBMi9gJBVV95cUxQWWR1WXpsZTJQUVNobGQ4N3dPc01jalNNWXBWaHZEaWJNQzdyN1IwYW9qd1RKQ1BWbFVrQmZuRTFxREJOUDkwdGhYNlNmRVJsR3pNTjlIeTNkQW8yclJEeUdXQWllTXU4ek9VYzgwWVJYNzA5RVpETGFEaURKcWg0SkhKaUM5eU9lU2Z0UERqMUpuUHBnanRrYkdzSnV0R0lVRi01WEpKQ056M2tYLTRMMDNBVUVnOTFmLXc4ZWtiVGRlU21hSWFaY1FIZ3hvTTNqMVZSTkxLTzQwaFVLWmVCN2k4LXI2S1Zrb2s4S1Qtd1hybjB2dEhDRGJaSkF2c2s4SGdFRWdiZlVDNGY2T3g2ellCVXJWZldyb3VFTGdwVTVrSnZRbjZ2bXh6YVgxMzhpMnZfaVJ2ZUF5cVhtR2k0SllzTzdoX2JrT0h5X2pHUFplcjZsa21CVU1VNlNOU2hZS3pDSFFNbk9yWU1zLWRSTnhPcXNYUQ?oc=5,"Sun, 03 May 2026 04:43:30 GMT",O'Reilly Auto Parts to open its 52nd CT store at the Milford Plaza MSN
O'Reilly Auto Parts,Bhavesh Phulwani,Mass Merchandisers,Closing,Larson Surprised He Held Off Allgaier For Texas O'Reilly Series Win - Sports Illustrated,https://news.google.com/rss/articles/CBMirwFBVV95cUxPY2FTQjYxNlJyTEo2QjU0SDJvMElMRnF5Tk00U1BBYW9HVGgyTTFLTmp3dXNCQkhCOU9UN0hjazd2eHhNQ0RGcEZ2OWJocmZwQnRjeDNGM1Bzb1ZLNkVQaXVHVkZTRkxiUjN3OHkzSlY1OW03eTJGZXVhNU1GVEtaQUhoemVLbUQ0eGw0NFVJb3FETDlVaGQzc05CeEQtaW9CUTdyc3REV1AxYUxTWHdN?oc=5,"Sat, 02 May 2026 23:55:08 GMT",Larson Surprised He Held Off Allgaier For Texas O'Reilly Series Win Sports Illustrated
O'Reilly Auto Parts,Bhavesh Phulwani,Mass Merchandisers,Closing,Larson Comes Out On Top After Testy Fights With Allgaier At Texas - TobyChristie.com,https://news.google.com/rss/articles/CBMiswFBVV95cUxPRHE2QnJlaUhORHlrYVVremtjNTE3WWdHbHcwTzFzci1KcWQwWVdFUGlQc3hPSXl5S19jeGZBSXdSd3FiUmROZTJqdGJPVmxtVmNQRUFMbzgyZG42VktGWDc5Qy1leC10Z3JyMktJd0N0X24yMktIUmdwTmJFa1ZtSDBSQnZFSEJUbzNnNU5JMGxIX2RhMUlfZjFxbk9sSTcwSkU3NVRZQ0dWMHFRbnMtQkFpQQ?oc=5,"Sat, 02 May 2026 23:48:34 GMT",Larson Comes Out On Top After Testy Fights With Allgaier At Texas TobyChristie.com
O'Reilly Auto Parts,Bhavesh Phulwani,Mass Merchandisers,Closing,Kyle Larson holds off Justin Allgaier to win thrilling NASCAR O'Reilly Series race at Texas - MSN,https://news.google.com/rss/articles/CBMi4gFBVV95cUxQYmVRZGJ1c2NwZUpVLXV4UGN4RWUxRjc1aTRnWXhwMldqVEtfdUlqRHRfMmVjMzBScklwOEYta04xY3oxX0UxMEJaNjV1SEo0enkxYXludjhSVkd2Z3o0X1pZUFhYd0NaNHVnT3p0dlNoUTEwaUFjTHNLekp5amoxaHV1RmU4N2xWODVwVTNNSHI5MFZnbDZ6Z3FCZkUxa1FDeDFkdXdmWW1vZERydERYZGtxTDJyUE9rSTZVTzBNeTJHU2V3YWlCN3V6cWdYLXRiTXVpOWJ2Y3pYbmVGTkZJWlh3?oc=5,"Sat, 02 May 2026 23:29:55 GMT",Kyle Larson holds off Justin Allgaier to win thrilling NASCAR O'Reilly Series race at Texas MSN
O'Reilly Auto Parts,Bhavesh Phulwani,Mass Merchandisers,Closing,Kyle Larson Wins O’Reilly Texas Race After Late Battle With Justin Allgaier - Frontstretch,https://news.google.com/rss/articles/CBMivgFBVV95cUxQZjFuWHZVU3dWcGlWeDlOdHM0YlpvWWNtZXdCUHZWMzJ2V1Bpam5HT01fS0FNeHcwWm9EbGZQY05seUNBczhqVHdOSGJQeVY4R0hrdFdLa0pGX2RBMUxodlFKM21nbG1Oa29jazJ0NkM3MFJPUWdqb0dSVTFTVXZ6YUplWW9lNlZRbGZMNnBWeEoyY083dFcyYllkMnJQWVVjOEhwRExxQnFlY3V4TW5rcFloakxfcnZOR3Y3aGpR?oc=5,"Sat, 02 May 2026 22:29:36 GMT",Kyle Larson Wins O’Reilly Texas Race After Late Battle With Justin Allgaier Frontstretch
O'Reilly Auto Parts,Bhavesh Phulwani,Mass Merchandisers,Closing,Kyle Larson holds off Justin Allgaier to win thrilling NASCAR O'Reilly Series race at Texas - Yardbarker,https://news.google.com/rss/articles/CBMi5gFBVV95cUxObUIzMnlRZ2R3dmxRVHNvLWtjM0doRkVCOUF3Rmg1Sm85eEZJdG5TQndNWHo1Y0tYa1pwOWlyR0tDYWhKcHVEejB4SFRvRmNHVW9XbU9xUVkta2doYUtvMXFCZnNNVzFlRDZPSjQ4MHhwS1JOX2tHTDZhcUZVLVVrZFlHZDhMalI0VUI5VFFmS3g5cHJiRjNmNDJYdWxKX2xKdG1CLURqWGpWYTRJbjlLZlpsQzIyS1RHQl9uRDYxaDRQTUpMLUg2eDZLbXBJVjNtSHJmSW9YeVNQdTlOTnRPaFdRTVpmZw?oc=5,"Sat, 02 May 2026 22:18:47 GMT",Kyle Larson holds off Justin Allgaier to win thrilling NASCAR O'Reilly Series race at Texas Yardbarker
Sam's Club,Dhiraj Manghani,Mass Merchandisers,Opening,Good news. Sam's Club's 'on track' to open Lebanon store this summer - MSN,https://news.google.com/rss/articles/CBMiuAFBVV95cUxOYVNsdlU1UVI3YzVpTUNRVjRRMGhvMlFBc1BlQTR6OW95c3JlR3hYMDJwRkdWUEdIZ3dNeGc0UVlPQ1VzeV9STjF5TndJRDRvQTRfU1FWN0ZOQTZ3ZDVnRU4taDVvbVlJbHdWeTVKX3dGRVJITVlQcmJ1RVlPaHFOSVdnVG5pQVZRRk1HVWxtam5zVUxDU0ZYMVhoTEpqcTg4czRtUU16ZmM1Z3lSSWlGdlNtd3JVQlFn?oc=5,"Sun, 03 May 2026 09:10:04 GMT",Good news. Sam's Club's 'on track' to open Lebanon store this summer MSN
Wawa,Ayushi Chandel,Convenience Stores / Distributors,Closing,Chapleau Temporary Road Closures - Wawa-news.com,https://news.google.com/rss/articles/CBMiggFBVV95cUxObmdFeHdKbFFTMGpxVVFDQm54eEU0TGd3UkZFeHE2eElrQzJEbHJ2b1RNbFIzcU0yNHZxWWxRWF8zbnR5Q05yQnVPWUI5bzBDNEI3cGdfbnNNa1BaODJXYmk4Q3BPVTVUVjhsWk5fNFdyZll4U0pBMGgyb0dRYkh0QWtn?oc=5,"Sun, 03 May 2026 04:38:34 GMT",Chapleau Temporary Road Closures Wawa-news.com
