Store,Analyst,Industry,Type,Title,Link,Published,Summary
Barnes and Noble,Ashwin Nair,Mass Merchandisers,Opening,Barnes & Noble's new Clovis location gets opening date - ABC30 Fresno,https://news.google.com/rss/articles/CBMijAFBVV95cUxOVkZwNWNRYUdRR0MwbUh6TEFCSWFDdmVuNEk3LUlSVnppcjB2SEd0RS1fbTdxeF9DbVpsTmNEMjdSYWNIbWlFOGljU1FiTkNpMUsycmE5cEVqN3Q5Sm5kY2ttbWZxQW5RWmVkcllGQm1iNmI0czRYTlRsRTRQZE9rMjdaUm5vZ3hKR3hnX9IBkgFBVV95cUxPRVhRYzZjUWVORkVBWTFYLUU2QWV5cGpqczNxb2VKSEVOcGVJX3ExV3NobGJyNmJHWkIyYkhYUFZNSU1XMjBqbDBwekVQV3E0bWZ5Y1lsNDd4UzR1MU9GZ2VGV3JZTXNsUjFaQmdlRzlIT2ctQUc3c0VRdlRYV0lnU2pySWhaQjhuSUJQWWpTVHAtQQ?oc=5,"Thu, 23 Apr 2026 14:06:36 GMT",Barnes & Noble's new Clovis location gets opening date ABC30 Fresno
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,"New BJ's locations Texas: Club rivaling Costco, Sam's expands to Texas - USA Today",https://news.google.com/rss/articles/CBMixwFBVV95cUxNdGV4UnhESzlHcWdFeVNpSk9famh6aWhvU1Fxc1hnejJCVlBNa0dFVGF1SmdZalV0aE5RcEtkLXZ4Nkh4MFFKOFhXLTUxUXNXWUQ2aFNUWS1DeVRaMVJuZHp5amx5dWtqZVRBMzBZM1ZYcVhka3RwYW15dFhDV0VaVmFqRjFQY2JFNWhweFZXaHJNMklOS01BTG5LMzFCSTcxMDNrUjB0T0hiVmNhcWZ6dWE4RFpsM3NxR3dwR1FEUmNFMURYUk9z?oc=5,"Wed, 22 Apr 2026 19:23:00 GMT","New BJ's locations Texas: Club rivaling Costco, Sam's expands to Texas USA Today"
BJ's Wholesale Club,Ashwin Nair,Mass Merchandisers,Opening,BJ’s Wholesale Club Makes Texas Debut - Retail & Leisure International,https://news.google.com/rss/articles/CBMibEFVX3lxTFBjMGFjOWdEYXNZa20xdi1LSVh2OUlWNk1zbnRkVlI3cVYyX3NIUThFVlhkWnZWT0k5NzFjSnA4OVRqSDR0Q2RyUWRERWxoZ2ZVN1VvcF93YUNvcG05UlROMmtHZXpvVm9MSi1yVA?oc=5,"Wed, 22 Apr 2026 11:44:40 GMT",BJ’s Wholesale Club Makes Texas Debut Retail & Leisure International
Burlington Stores,Ashwin Nair,Mass Merchandisers,Opening,Burlington to open Eagan store in former OfficeMax space - The Business Journals,https://news.google.com/rss/articles/CBMijwFBVV95cUxOcGxhdzc5N2tpZWJIU2ZINExLS2lZeE9RanRkdUZsejAwVXlxVXJ4eV8wQmNhWTBmVTdaRU5Kdk50Z0pQcXJZYlNiSk9GMV9EYzBqWXFFTGNyZkRIamhOZ3VXVEV6STlWRFA0ZHJyT3ZoTUYycWVMSTBFMk95TnEwRVluLXJleTNTdGR0YlNvaw?oc=5,"Fri, 24 Apr 2026 18:18:00 GMT",Burlington to open Eagan store in former OfficeMax space The Business Journals
Harris Teeter,Ashwin Nair,Grocery,Opening,Harris Teeter thinks it's found the perfect spot to reenter Jax market - The Business Journals,https://news.google.com/rss/articles/CBMijAFBVV95cUxPM3UxUW1sMlhPYW9kTkh3QXFVMEV0WVY4ZXRVSDBmc0xBYXVyTmQtZU10V1FvdjFZTllJM1YwU3kxS0hIU0lmc0JqY0FzdXc4YlgxZ0Q5Vm5zM1RUVWwtWHd4cE03TURPcEFGNUlrSzg5VHNwYnFSYnM3aTB0VGI3SkxRTGZGN0lsQndZaA?oc=5,"Fri, 24 Apr 2026 18:49:00 GMT",Harris Teeter thinks it's found the perfect spot to reenter Jax market The Business Journals
BP,Komal Agrawal,Convenience Stores / Distributors,Closing,BP shutting down two North Slope pipelines; might need to be replaced - Petroleum News,https://news.google.com/rss/articles/CBMiywFBVV95cUxPenJyWDlBVHdONFE3MjRPNG1HbWwta240UXBXM2pKQjRNX1l6ZkF2OE1NWG5kaFRXMlZWSHB5Tm9ISWFMVlY4MHo0MWFTb0w5RWtqbE9rVlkzOWRyMldMb2ZMRU5DVzI4UlZVUU42Y0dnQklNNUFZY18yVU5NY3pTWVM1RnNjRTltTmkwYU1yMzI5Q0RaMEM0Z2RFZ0V2cnpLN2xqUThPUVpZcV84T3J3OU9EbTcycFU4cUladXBmZV9ySmx6OHpQODlGWQ?oc=5,"Wed, 22 Apr 2026 10:09:18 GMT",BP shutting down two North Slope pipelines; might need to be replaced Petroleum News
Hy-Vee,Komal Agrawal,Grocery,Closing,Hy-Vee shutting down major facilities; hundreds of jobs impacted across Iowa - MSN,https://news.google.com/rss/articles/CBMi_AJBVV95cUxPMmQ2MzI2RGM1d2Y4bnBweElBMldTOE9vcWZJLVV1eVZRUXA5YXUta2Q1dU5PMkZGSDJHQzY0SUJhQ2dXU0Ffdm1oZVEwOUVuakZ5azQ4Wmw3QlA0OTJtN3ktdzVMTU41Zmo5RlFQV3VhTTVDNFdKZTZyWFFmcnZJY2tSVjg1UEJtVmxZRE5GamNhWkpvVnYzVUl0ZmpzSTdNZDczeTREMlpCM1QteUNTOG9mX2NfbUhIMlk3UmVBU0M5bTlHNkE5WElBVjVhdVdGWk8tRFVrRnY5bUprNWdMT2xhcFQxeHFDVnhXOW1YaG50WWt1RW1CUGozbUlfSk1mb0RpQkFnSHprLXdjdFJUVkFsWHJIV1B6U1lHdmlwRkk2clA1MC0zY2hqdzE0MlVYT0NBUzVjWTZiajk0TU90OUtMdnRyRHZGOFN1bWs5S0xVaXplTkRaWHdQNFFEaHpOX3pFaHFMS3Y3bDlrX0pVeGJvaWRjV1N3UmFqNg?oc=5,"Thu, 23 Apr 2026 16:07:36 GMT",Hy-Vee shutting down major facilities; hundreds of jobs impacted across Iowa MSN
Giant Eagle,Komal Agrawal,Grocery,Closing,Giant Eagle at Parkway Center closing after more than 40 years - MSN,https://news.google.com/rss/articles/CBMi6gJBVV95cUxQOHZIbzY4RXZ4Ui1hZEF0d0hFcFo1NXUzRWRSVHFMc0ctV0tvYVM1TnJ2d002R0RaN2xQa01sVXVHTVJpUUlUd0dkaTRkRXBLbzg2U0x1WHJoNVVuRnp3UXFuOWVfVTB5djJXY19LWkZ1NHhWTDh6TUl3RU85Qk8yTnk0QzNkX3B6X25pNDdBcGxuMVNSOGR1V0pwb3NrV1J6dWtBQmxObXVZNVFkcEQ2TVZNdlV1bGxHb0pyMldRajIwdmM0dG5Oek9iY08tUU5idGU4akFWVUFEZDhibTFSZkVJY0VNaWFTWHRMMzdQcG04ZFVFb2Y0dnA2Wk5tTTFfb0RYSUhrdnRfMVpxTXc4amRVTVhFOFpiZWpXRjlQRS1iX2pLQlhyT0k4OVFBbEZZbnNqN3RwN2lQakpfSGIzLW1OSU5jdE5BaHRwaGV0QmlzaG5wRWJsemdnNG9ZZU9oUDRuSnVJSlJtZw?oc=5,"Thu, 23 Apr 2026 20:35:56 GMT",Giant Eagle at Parkway Center closing after more than 40 years MSN
Giant Food,Komal Agrawal,Grocery,Opening,New outdoor social space and sports bar to open at giant Birmingham food hall - Birmingham Live,https://news.google.com/rss/articles/CBMinwFBVV95cUxQWXk2Unh4R2RXOGJ6bWVUX2J0TTBRNU1DMUl3SWVRbTJnWGdlbjFnU1JDMXliRDNzRUJkeFUzbmU4Qjlrb0RmaTJrQWxYclB0MDA3b2h2Uk44M3R0VjkyNkY0cmJocmNLTGhfOE42d2ctYVdlLTFKQXNyekE2NHRpaGJiOTZzbGkydnh6NGVzZXF3RFlXT05ucGlNWk4zR2fSAaQBQVVfeXFMT1o4czJBcmliZDk0RXlkeURockZuOTlNaENZTE1ha3k2TXFmR0VPQTFFcllYbC1ZVnVZZFhJY1Q5c0RtSkp2bExPOFgwRjlCdG9fNXBJMHFUZ3NVR1NBczQ5bW1JbEJNaGZzUUxOUWJkOFN4T19oTWJoNTRmQlJmN0I4RnAyQ2pZLTYxelhYTFBYcTlxdXFFWnlXdl9NWFgwMkxfeGQ?oc=5,"Wed, 22 Apr 2026 11:43:00 GMT",New outdoor social space and sports bar to open at giant Birmingham food hall Birmingham Live
Family Dollar Stores,Rishi Nagar,Mass Merchandisers,Closing,Bangor's Long-standing Family Dollar Store May Close Soon Amid Nationwide Cutbacks - Q106.5,https://news.google.com/rss/articles/CBMiZkFVX3lxTE9RMnZMaFA4MzFqSElWdU5IZWFWS25qXzVWT1N2TVpnbktJOS1obndPMXFiRU9SREVOeWw1Vm5BVVRSV0Q4aFY0WmR4REc5UTY1UHhLbGx4UTMxWDc5NEtlN25PQkZPUQ?oc=5,"Thu, 23 Apr 2026 15:13:56 GMT",Bangor's Long-standing Family Dollar Store May Close Soon Amid Nationwide Cutbacks Q106.5
