state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,TOTAL_LAYOFF_NUMBER,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME
Texas,,,,,,,,05/28/2025,Texana Center Russeff Filed  Home,Fort Bend,Gulf Coast WDA,5.0,05/21/2025,05/28/2025,Rosenberg
Texas,,,,,,,,05/28/2025,Texana Center Dovecoft Group Home,Fort Bend,Gulf Coast WDA,6.0,05/21/2025,05/28/2025,Rosenberg
Texas,,,,,,,,05/28/2025,Texana Center Camden Landing Group Home,Fort Bend,Gulf Coast WDA,5.0,05/21/2025,05/28/2025,Rosenberg
Texas,,,,,,,,05/28/2025,Texana Center Sunset Group Home,Wharton,Gulf Coast WDA,8.0,05/21/2025,05/28/2025,Wharton
Texas,,,,,,,,05/28/2025,Texana Center Willowbend Group Home,Wharton,Gulf Coast WDA,6.0,05/21/2025,05/28/2025,Wharton
Texas,,,,,,,,05/28/2025,Texana Center University Group Home,Wharton,Gulf Coast WDA,5.0,05/21/2025,05/28/2025,Wharton
Texas,,,,,,,,05/28/2025,Texana Center Maude Group Home,Wharton,Gulf Coast WDA,4.0,05/21/2025,05/28/2025,Wharton
Texas,,,,,,,,05/27/2025,LACROIX,El Paso,Borderplexjobs WDA,7.0,07/01/2025,05/27/2025,El Paso
Texas,,,,,,,,05/21/2025,Child Care Associates,Tarrant,Tarrant County WDA,93.0,06/30/2025,05/21/2025,Ft. Worth
Texas,,,,,,,,05/21/2025,Child Care Associates (Tucker),Tarrant,Tarrant County WDA,7.0,06/30/2025,05/21/2025,Arlington
Texas,,,,,,,,05/21/2025,Child Care Associates (Linda Kay),Tarrant,Tarrant County WDA,15.0,06/30/2025,05/21/2025,Hurst
Texas,,,,,,,,05/21/2025,Child Care Associates (Mansfield),Tarrant,Tarrant County WDA,15.0,06/30/2025,05/21/2025,Mansfield
Texas,,,,,,,,05/21/2025,Child Care Associates (Carson),Tarrant,Tarrant County WDA,14.0,05/21/2025,05/21/2025,Fort Worth
Texas,,,,,,,,05/21/2025,Child Care Associates (Meachum),Tarrant,Tarrant County WDA,15.0,06/30/2025,05/21/2025,Fort Worth
Texas,,,,,,,,05/21/2025,Child Care Associates (Reagan),Tarrant,Tarrant County WDA,14.0,06/30/2025,05/21/2025,Fort Worth
Texas,,,,,,,,05/21/2025,Child Care Associates (Rosedale V),Tarrant,Tarrant County WDA,16.0,06/30/2025,05/21/2025,Fort Worth
Texas,,,,,,,,05/21/2025,Child Care Associates (Diamond Road),Tarrant,Tarrant County WDA,13.0,06/30/2025,05/21/2025,Fort Worth
Texas,,,,,,,,05/21/2025,Child Care Associates (Morris Foundation),Tarrant,Tarrant County WDA,17.0,06/30/2025,05/21/2025,Fort Worth
Texas,,,,,,,,05/21/2025,Child Care Associates(North Fort Worth),Tarrant,Tarrant County WDA,16.0,06/30/2025,05/21/2025,Fort Worth
Texas,,,,,,,,05/21/2025,Child Care Associates (Blanche),Tarrant,Tarrant County WDA,17.0,06/30/2025,05/21/2025,Fort Worth
Texas,,,,,,,,05/21/2025,Child Care Associates (Arlington 2),Tarrant,Tarrant County WDA,22.0,06/30/2025,05/21/2025,Arlington
Texas,,,,,,,,05/21/2025,Child Care Associates (JA Hargrave),Tarrant,Tarrant County WDA,19.0,06/30/2025,05/21/2025,Fort Worth
Texas,,,,,,,,05/21/2025,Child Care Associates (Everman),Tarrant,Tarrant County WDA,9.0,06/30/2025,05/21/2025,Fort Worth
Texas,,,,,,,,05/21/2025,Sodexo (International Leadership TX),Dallas,Dallas County WDA,165.0,06/30/2025,05/21/2025,Irving
Texas,,,,,,,,05/21/2025,F&S Produce West LLC,Harris,Gulf Coast WDA,225.0,07/20/2025,05/21/2025,Houston
Texas,,,,,,,,05/20/2025,FedEx Supply Chain Logistics & Electronics (Ft. Worth),Tarrant,Tarrant County WDA,305.0,07/06/2025,05/20/2025,Fort Worth
Texas,,,,,,,,05/16/2025,Chevron (Deauville Blvd),Midland,Permian Basin WDA,185.0,07/15/2025,05/28/2025,Midland
Texas,,,,,,,,05/16/2025,Chevron (S. County Rd.),Midland,Permian Basin WDA,1.0,07/15/2025,05/28/2025,Midland
Texas,,,,,,,,05/16/2025,Chevron (N. FM 1788),Midland,Permian Basin WDA,14.0,07/15/2025,05/28/2025,Midland
Texas,,,,,,,,05/14/2025,International Paper Company(Edinburg),Hidalgo,Lower Rio Grande Valley WDA,63.0,05/09/2025,05/14/2025,Edinburg
Texas,,,,,,,,05/14/2025,International Paper Company (Edinburg W. Chapin),Hidalgo,Lower Rio Grande Valley WDA,64.0,05/09/2025,05/14/2025,Edinburg
Texas,,,,,,,,05/14/2025,International Paper Company (McAllen),Hidalgo,Lower Rio Grande Valley WDA,5.0,05/09/2025,05/14/2025,McAllen
Texas,,,,,,,,05/14/2025,Atria Wealth Solutions,Fort Bend,Gulf Coast WDA,55.0,07/04/2025,05/14/2025,Houston
Texas,,,,,,,,05/08/2025,Museum of Ice Cream,Travis,Capital Area WDA,38.0,07/10/2025,05/08/2025,Austin
Texas,,,,,,,,05/08/2025,WSS (Foot Locker),Harris,Gulf Coast WDA,57.0,07/07/2025,05/08/2025,Houston
Texas,,,,,,,,05/07/2025,TRIGO (Tesla),Travis,Capital Area WDA,50.0,04/28/2025,05/07/2025,Austin
Texas,,,,,,,,05/06/2025,Smurfikt Westrock Facility (ForneyTexas),Kaufman,North Central Texas WDA,200.0,06/30/2025,05/06/2025,Forney
Texas,,,,,,,,05/06/2025,Tom Thumb Store #3579,Collin,North Central Texas WDA,75.0,,05/06/2025,Allen
Texas,,,,,,,,05/01/2025,Chick-Fil-A (N. Collins St. Plant),Tarrant,Tarrant County WDA,10.0,06/07/2025,05/01/2025,Arlington
Texas,,,,,,,,04/30/2025,PULAU Corporation,Bell,Central Texas WDA,64.0,06/30/2025,04/30/2025,Killeen
Texas,,,,,,,,04/30/2025,Texas Central School Bus (Purnell),Denton,,174.0,07/17/2025,04/30/2025,Lewisville
Texas,,,,,,,,04/30/2025,Texas Central School Bus (Mill),Denton,North Central Texas WDA,131.0,07/15/2025,04/30/2025,Lewisville
Texas,,,,,,,,04/30/2025,Texas Central School Bus (Cougar Alley),Denton,North Central Texas WDA,155.0,07/15/2025,04/30/2025,The Colony
