state,company,city,notice_date,layoff_date,employees_affected,closure_type,notes,Unnamed: 0,Worker Adjustment and Retraining Notification (WARN) List,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Oregon,,,,,,,,9434,Kroger-00150-Prime,Portland,2026-04-05 00:00:00,4,Permanent closure,2026-01-29 00:00:00
Oregon,,,,,,,,9434,Kroger-00135,Portland,2026-04-05 00:00:00,4,Permanent closure,2026-01-29 00:00:00
Oregon,,,,,,,,9434,Kroger-00600-Prime,Portland,2026-04-05 00:00:00,4,Permanent closure,2026-01-29 00:00:00
Oregon,,,,,,,,9434,"Lincare-Brookings, OR",Brookings,2026-04-05 00:00:00,3,Permanent closure,2026-01-29 00:00:00
Oregon,,,,,,,,9434,Kroger-00516,Wilsonville,2026-04-05 00:00:00,3,Permanent closure,2026-01-29 00:00:00
Oregon,,,,,,,,9434,Kroger-00417,Eugene,2026-04-05 00:00:00,3,Permanent closure,2026-01-29 00:00:00
Oregon,,,,,,,,9434,Kroger-00660,Wood Village,2026-04-05 00:00:00,3,Permanent closure,2026-01-29 00:00:00
Oregon,,,,,,,,9429,Eugene Location,Eugene,2026-03-31 00:00:00,39,Permanent closure,2026-01-29 00:00:00
Oregon,,,,,,,,9429,Bend Location,Bend,2026-03-31 00:00:00,26,Permanent closure,2026-01-29 00:00:00
Oregon,,,,,,,,9429,"Three Pirates, LLC dba Point Blank Dist",Portland,2026-03-31 00:00:00,112,Permanent closure,2026-01-29 00:00:00
Oregon,,,,,,,,9420,Oregon - Remote Employees,,2026-03-10 00:00:00,1,Permanent closure,2026-01-08 00:00:00
Oregon,,,,,,,,9415,Vacuum Technique LLC,Clackamas,2026-04-30 00:00:00,78,Permanent closure,2025-12-29 00:00:00
Oregon,,,,,,,,9414,"Solgen Power, LLC dba Purelight Power",Medford,2025-12-23 00:00:00,71,Permanent closure,2025-12-23 00:00:00
Oregon,,,,,,,,9414,Administrative Office,Medford,2025-12-23 00:00:00,13,Permanent closure,2025-12-23 00:00:00
Oregon,,,,,,,,9414,Oregon - Remote Employees,,2025-12-23 00:00:00,25,Permanent closure,2025-12-23 00:00:00
Oregon,,,,,,,,9408,Wells Fargo and Company - 5th Ave. Port,Portland,2026-02-06 00:00:00,3,Reduction,2025-12-09 00:00:00
Oregon,,,,,,,,9402,Nordstrom Portland Rack,Portland,2026-01-31 00:00:00,37,Permanent closure,2025-12-01 00:00:00
Oregon,,,,,,,,9401,Vibra Specialty Hospital of Portland,Portland,2026-02-01 00:00:00,310,Permanent closure,2025-12-01 00:00:00
Oregon,,,,,,,,9392,Oregon - Remote Employees,,2026-02-01 00:00:00,1,Reduction,2025-11-20 00:00:00
Oregon,,,,,,,,9389,Aloha Facility,Aloha,2025-09-16 00:00:00,41,Large Layoff - 10 or more workers,2025-11-13 00:00:00
Oregon,,,,,,,,9389,"Century Blvd., Hillsboro",Hillsboro,2025-09-16 00:00:00,510,Large Layoff - 10 or more workers,2025-11-13 00:00:00
Oregon,,,,,,,,9389,"25th Ave., Hillsboro",Hillsboro,2025-09-16 00:00:00,76,Large Layoff - 10 or more workers,2025-11-13 00:00:00
Oregon,,,,,,,,9389,"Elam Young Pkwy., Hillsboro",Hillsboro,2025-09-16 00:00:00,42,Large Layoff - 10 or more workers,2025-11-13 00:00:00
Oregon,,,,,,,,9376,Wells Fargo and Company - 5th Ave. Port,Portland,2025-12-26 00:00:00,34,Large Layoff - 10 or more workers,2025-10-28 00:00:00
Oregon,,,,,,,,9375,Wells Fargo and Company - Hawthorne Ave,Salem,2025-12-26 00:00:00,147,Large Layoff - 10 or more workers,2025-10-28 00:00:00
Oregon,,,,,,,,9374,Wells Fargo and Company - Walker Rd. Hi,Hillsboro,2026-03-20 00:00:00,2,Reduction,2025-10-28 00:00:00
Oregon,,,,,,,,9374,Wells Fargo and Company - Walker Rd. Hi,Hillsboro,2025-12-26 00:00:00,263,Permanent closure,2025-10-28 00:00:00
Oregon,,,,,,,,9377,Pacific Source - Bend,Bend,2025-12-31 00:00:00,52,Reduction,2025-10-24 00:00:00
Oregon,,,,,,,,9377,Pacific Source - Medford,Medford,2025-12-31 00:00:00,1,Reduction,2025-10-24 00:00:00
Oregon,,,,,,,,9377,Pacific Source - Portland,Portland,2025-12-31 00:00:00,38,Reduction,2025-10-24 00:00:00
Oregon,,,,,,,,9377,Pacific Source,Springfield,2025-12-31 00:00:00,153,Large Layoff - 10 or more workers,2025-10-24 00:00:00
Oregon,,,,,,,,9377,Pacific Source - Salem,Salem,2025-12-31 00:00:00,21,Reduction,2025-10-24 00:00:00
Oregon,,,,,,,,9357,"Bags, A Metropolis Company - Portland",Portland,2025-11-17 00:00:00,157,Large Layoff - 10 or more workers,2025-10-13 00:00:00
Oregon,,,,,,,,9363,Oregon - Remote Employees,,2025-12-02 00:00:00,1,Small Layoff  1 – 10 workers,2025-10-03 00:00:00
Oregon,,,,,,,,9354,Wells Fargo Center - Portland,Portland,2025-11-28 00:00:00,50,Large Layoff - 10 or more workers,2025-09-30 00:00:00
Oregon,,,,,,,,9350,Dillard Hardwood Plywood Facility,Dillard,2025-10-10 00:00:00,7,Permanent closure,2025-09-25 00:00:00
Oregon,,,,,,,,9350,Dillard Hardwood Plywood Facility,Dillard,2025-09-25 00:00:00,100,Large Layoff - 10 or more workers,2025-09-25 00:00:00
Oregon,,,,,,,,9362,Pacific Source,Springfield,2025-12-31 00:00:00,56,Large Layoff - 10 or more workers,2025-09-17 00:00:00
Oregon,,,,,,,,9346,Hillsboro Facility,Hillsboro,2025-11-15 00:00:00,128,Large Layoff - 10 or more workers,2025-09-16 00:00:00
Oregon,,,,,,,,9345,Oregon - Remote Employees,,2025-11-15 00:00:00,1,Small Layoff  1 – 10 workers,2025-09-16 00:00:00
Oregon,,,,,,,,9344,Nike World Headquarters,Beaverton,2025-12-15 00:00:00,69,Large Layoff - 10 or more workers,2025-09-15 00:00:00
Oregon,,,,,,,,9328,Remote Workers - Oregon,,2025-10-19 00:00:00,9,Permanent closure,2025-08-20 00:00:00
Oregon,,,,,,,,9328,Remote Workers,,2025-10-19 00:00:00,16,Permanent closure,2025-08-20 00:00:00
Oregon,,,,,,,,9322,Oregon - Remote Employees,,2025-10-13 00:00:00,23,Large Layoff - 10 or more workers,2025-08-12 00:00:00
