Store,Analyst,Type,Title,Link,Published,Summary
BJ's Wholesale Club,Ashwin Nair,Closing,BJ’s Wholesale Club extends store hours across Long Island - News 12 - Hudson Valley,https://news.google.com/rss/articles/CBMiwAFBVV95cUxNeW5uQWc2LUNwMWJFTXhIV3FneVhWOW9tRHUwcFd5U0JRT0FSMDd2c0lhVnJCdFAzemVtcDY3VXNnTk1seXRQUEdXcUlRWF80Y1hXejU3TnFIcGx4emVMcFVHNlpQUHlsekVZVThsbXAycWZkRURSa1EtQnNMODdMU2tzRzdEZEV6MXF4QURlRmJkYjM2R2JkT0pLVkpWdkZudkJqM2Z1b19IY1k1blh3NUQ2M0dibEN1RUtkZWp3ODU?oc=5,"Tue, 07 Apr 2026 17:33:25 GMT",BJ’s Wholesale Club extends store hours across Long Island News 12 - Hudson Valley
BJ's Wholesale Club,Ashwin Nair,Closing,BJ’s Wholesale Club extends store hours across Long Island - News12 | Westchester,https://news.google.com/rss/articles/CBMivwFBVV95cUxNLXJRdHVnYWJieVlfTHpUNTFuMTUwRTFWTUV5NDJqM2tsekwyYkNrN3ZYR0VPOC1hYldOaGJMbURVUnNZZURkNm5IQ3lpTC14bktnd1JFZjl2VDhCQUJzYUV4Qk03bVdZLWpxNzIzTVphLUNMVXE4My1Qd3FvTTViS01OUGFBQVhMN3hLTGJXa1Zma09qcGo3dHF6T3c5eUJpZDQ0QWJTQ3I1d3l4SlNDM0JTdU5NZFRtUWJqMXZ1OA?oc=5,"Tue, 07 Apr 2026 16:27:50 GMT",BJ’s Wholesale Club extends store hours across Long Island News12 | Westchester
BJ's Wholesale Club,Ashwin Nair,Closing,BJ’s Wholesale Club extends store hours across Long Island - News12 | New Jersey,https://news.google.com/rss/articles/CBMijwFBVV95cUxQcnY2NXpVZ1dsRTBQTUVXR3BzYThqR1g3dXNscWVTckFOVWRIcVJ4Ml9jbE1XNThRNmFiZE1SZGtGT0tRbG54WGIzQWZJZGI5Mk85bHhFNzhDSm1lOHhWcVZ4MUFITjF2VDFBU3dtRENCWDVOVkVvUU1XOElyR2doaGVabTJPQ1M5LVpaNEpfaw?oc=5,"Tue, 07 Apr 2026 10:47:07 GMT",BJ’s Wholesale Club extends store hours across Long Island News12 | New Jersey
Burlington Stores,Ashwin Nair,Opening,Burlington Stores announces new location in Rochester - kaaltv.com,https://news.google.com/rss/articles/CBMiigFBVV95cUxOV1ZVRk02VXlGZk50bmplTGdMNjZFa0dIVnlLaTlEaEp0b0ZLM0ZmSEl2X2tkMElnOGJEWENaam5JMFFLODJsNGc1TnJVZVVXRFR0U1ZrNG1jV29mYlZSalJ1NGNKRWZfNVJ4NmRibEhoZHRfblVBRUp0bFZPdW5sczJaYldFXzhleHc?oc=5,"Tue, 07 Apr 2026 17:34:06 GMT",Burlington Stores announces new location in Rochester kaaltv.com
Burlington Stores,Ashwin Nair,Opening,Burlington to open new store at Blue Star Shopping Center - NJBIZ,https://news.google.com/rss/articles/CBMihAFBVV95cUxNZWU0LWdXajJoMkttcGZYemtla0JtOVpYc3NtNy1QYjdjY0xLekJ3SXdoX19PT21jNGNSWXUwNVlqOWZsbGRiZ0w1N1N5cXZNQldzdWxIYUJldWNzbDZncnNZY1U3bXhieDk2TS1LaTJwVk51TVVMaDJzdzR6Ti1FSTIzdzM?oc=5,"Mon, 06 Apr 2026 17:36:29 GMT",Burlington to open new store at Blue Star Shopping Center NJBIZ
Burlington Stores,Ashwin Nair,Opening,This Popular Discount Store Is Opening More Locations In New Jersey - 94.3 The Point,https://news.google.com/rss/articles/CBMiYkFVX3lxTE9ib2JaXzJxb0xsNWdrVG9wWTVqN1lvZ2dSRkNSZ3RkR05QclV5cFFIbTRjdWdaOFJjZjgzcmRxcFdvZzJWODZBWllRYVgxUEhuaTktN3lKc3BpSm5OWXFlLUpn?oc=5,"Mon, 06 Apr 2026 14:30:01 GMT",This Popular Discount Store Is Opening More Locations In New Jersey 94.3 The Point
Dick's Sporting Goods,Ashwin Nair,Opening,"New 60,496-square-foot Dick's Sporting Goods planned in Tomball with $6.6 million price tag - msn.com",https://news.google.com/rss/articles/CBMi8wJBVV95cUxPcUZoRUVFUEJ6YXlPeFRJNExjSGQxLXdSaHNfaVVJX252T0o2NVNXa3pVM0JzVEItWThXR25IaXNHcHFZbUh2ZFlJZDZ3aGdxVkdCV3NrVXUxZ2liRXZpUGlaZU52aHIxUVRtcTM2QnloZnVLcmppWkw1UlRCMFgtSi1iTlFPbmtPbXZyTUdyU0JVT3Y1OFpyU3NoRE9xYWdzdEI5dDJqa3dUanREd0Z2czlRamNzRXNta3hBVEYwYWlyWWRuaUZWNjF2c2tuT2d1a1FnWW5PZGkxOVQzdlBleW9UUFVjQ0NpZURCSHpIVF94V19oY00yUmZTbzNvUVR0UXdMTGptTWpDNEo1dGV5TGJBclZOb0dtTFJNekNnbDR0Rmd4dThUQl82ZjdPVG92VEdXVDFlY0QyYk1Jek5wN01LNnlOaFJCMDBmZjROenFObHhuLS1PSlNKbjJBRzRlUmxjVXM1WXpxVV9BVm13NU8xYw?oc=5,"Tue, 07 Apr 2026 20:49:27 GMT","New 60,496-square-foot Dick's Sporting Goods planned in Tomball with $6.6 million price tag msn.com"
Harris Teeter,Ashwin Nair,Closing,Harris Teeter to close east Charlotte store - wbtv.com,https://news.google.com/rss/articles/CBMifkFVX3lxTE1HUTlxVE15bnl0N3R2bVQyV2NSeS1HeGtDYUQ5bExIYzQ2RXBNd2JZd3JXRHR4Um4zaVlmU29nQkhWRVlBbGg2OTVKRDFweE9qQ3JaSGpzMXhkV0FDZ2t2Tk1iTF94aTNhUVQ4b0RaZlZ0NkNtYkk1UWs0OFhZZw?oc=5,"Mon, 06 Apr 2026 21:40:00 GMT",Harris Teeter to close east Charlotte store wbtv.com
Walgreens,Komal Agarwal,Closing,Walgreens specialty pharmacy in Rockford is closing - Rockford Register Star,https://news.google.com/rss/articles/CBMitwFBVV95cUxPZy10RkQtWW13dnJXbzhHcGFOZGJ6SGtXZVdrcmo2RGNmLWRqeEFmNGR3QTAtZEIzRE9MWWdzOU5QT0s5clVxdy1GZk9zOUxfYUFoMTJBaEpnaVFaMlBQWjdUbUFwTGwwcTFacTRUZWhrN2lBbXdwMEwwc0RQd1BvYWhIakllUUZYNVJlV1BCVmx3c1RvOWtFdU1DdEJzVXY0cjcwc1ZGSXFGTWRkcUY4c2tMSWFFQzQ?oc=5,"Tue, 07 Apr 2026 17:27:00 GMT",Walgreens specialty pharmacy in Rockford is closing Rockford Register Star
Walgreens,Komal Agarwal,Closing,Walgreens and 9 Other Major Stores That Are Closing in April - AOL.com,https://news.google.com/rss/articles/CBMic0FVX3lxTE5wM3V0X2pnYVRKMlE5cVdUQS1DT192VEVkdUZkVEtmaGliYnZ3U001SmN5MjZzM3VmVExQZWpQUnpjU2VYUmx4TlVscjRzWFJadlhVUVltUHhpWjNMX2FuTlNDbVlxVEI1Y3MwSlBEUngzNzQ?oc=5,"Mon, 06 Apr 2026 10:15:17 GMT",Walgreens and 9 Other Major Stores That Are Closing in April AOL.com
Walgreens,Komal Agarwal,Closing,Walgreens and 9 Other Major Stores That Are Closing in April - FinanceBuzz,https://news.google.com/rss/articles/CBMibEFVX3lxTE4tSEtuSVVMLThFc1RmUUZ1NEs4Z2ozcUxoSHVwUkxEN01Kd3hzOVQzT0xFeDk2QWFzNWZ5UEdIdFN0N0VQVms4NHhlMDNfWXRZVFJabEM3T2NETXdGdGdWMVAxaVpaZ3lNNTJTUg?oc=5,"Mon, 06 Apr 2026 10:05:00 GMT",Walgreens and 9 Other Major Stores That Are Closing in April FinanceBuzz
