Store,Analyst,Type,Title,Link,Published,Summary
Academy Sports + Outdoors,Ashwin Nair,Opening,"Academy Sports and Outdoors plans up to 25 new stores in 2026, including several in Texas - KHOU",https://news.google.com/rss/articles/CBMi6gFBVV95cUxNYVY1VjZkZDZzeGptLV9qbDdJaFl2U0JXa1dWWlNGQUQxaEtlUmVfVWtXZjlyOHFxSWFlVzhaTC1UcXpvdFZ4bm13WmdYYUttNm14S2hENXhfYVNBRVdxSEN3UVFhZUw4ZWg4ZmxvbFZ1WjBsSXVXQzdEYWNnN05DV0dlc0RVaHNQeHl0N01KOFJWWVJhQk1EMjdzejNSZWE5Y2ZFa01yMnFqcWNjSHQ2RWZEM2pwcWVmOEF6RjI2Mkp1QThtTG5VN211SThOTzc3bXNyMEEyanZSTzlfblNLX0RxOHhNVTk1SGc?oc=5,"Thu, 19 Mar 2026 15:23:00 GMT","Academy Sports and Outdoors plans up to 25 new stores in 2026, including several in Texas KHOU"
Academy Sports + Outdoors,Ashwin Nair,Opening,"Academy Sports and Outdoors plans up to 25 new stores in 2026, including several in Texas - The Business Journals",https://news.google.com/rss/articles/CBMipAFBVV95cUxPUXNlaUZYYUhvczdqNXd6NV83dTNQNTY3Um9YZTJSd1c2NlpiZEhVUm5ueV95ZGJES2hXNl9ULWl5dlplMGxid0N3WTIzV1ZES3JpODVxOTBBZ1ZSdjcxWndLZU1KZUxJaXNCcFpROWxHWHdhMVFwTVE3VmlENTFQX0p1QzFwdm9melNyNGhRbVpHeGVKQlYwdmZXcUcxUDVCNDVtQQ?oc=5,"Thu, 19 Mar 2026 08:00:00 GMT","Academy Sports and Outdoors plans up to 25 new stores in 2026, including several in Texas The Business Journals"
Academy Sports + Outdoors,Ashwin Nair,Closing,A Look At Academy Sports And Outdoors (ASO) Valuation After Recent Share Price Softness - Yahoo Finance,https://news.google.com/rss/articles/CBMingFBVV95cUxQLVZ3Y3dRcUowSmhiSlF3aUl3MjQxNE1ZWWlkWFA0NE42SW9SVm56YzJBYVlsdXRDZU1Gb2VQMGxaYWEwT2ZkRy1QLXEtZ0NlR1pxWU1XUy13UGxxUWVoZ2FFODJnWFZKeUZWUmY3eGFkUEdwTUNWWU5ETFZRS0dZYVZ3UjBTMDVBZ2d4eF9qNFA0QkFoenZvVHpHT3A1UQ?oc=5,"Thu, 19 Mar 2026 05:07:00 GMT",A Look At Academy Sports And Outdoors (ASO) Valuation After Recent Share Price Softness Yahoo Finance
Burlington Stores,Ashwin Nair,Opening,"Burlington Stores announces new location, bringing deals on top brands to Darien, Illinois shoppers this spring! - MSN",https://news.google.com/rss/articles/CBMijANBVV95cUxQWUVQMUF5cEIyeFZfTWlYS3NVSXdlQjZJMC1FUTh0d1Y5LW9aY2hCenQtNTdId0R6TmNvMzE1NmlOdi1pcGJWRGtNT1NMaF9pQlRBV05LNTFPZm9ybUNlbTVWRlZqSzdKUWtxcFpKcVdsZFB4SnlyZ3VZdzdUdjNja3EzZkpvWnBWQ1lhWjZqQjhCV2JmZ2FPenA3S2NXR1FVRlkzcEFqLU9zeHlDZ0FGdVhjR1JaSWRGYm1IRjFJcm5GR3dWTk9fNVV6SmFIdmVWZmkySFB0NDlzN0Z4aG5MYmE4M0trTXFrc2l3cVZ1YW9xTklkWDdCYl96ZWhSc1JOcktCSUkwMjdaYXJMMU1QZ1hoRk1Td2lIcFhqNzlSRWs3ZWFfRUttdWVURlA5VmJkc3BWejgyZkJYTm1aM01ZdXl1TjktYTZwdnBjVm1VMWFxd19CX0lLVDJ4RHFGUmFjV3JVazRpZXA1Uk1pTXlNMURlaTRidVFDS2NYVkJ6ZmlpcThqd2luYzJzdTE?oc=5,"Wed, 18 Mar 2026 14:42:09 GMT","Burlington Stores announces new location, bringing deals on top brands to Darien, Illinois shoppers this spring! MSN"
Burlington Stores,Ashwin Nair,Opening,Burlington opening in Oshkosh this spring will have a new store design - Oshkosh Northwestern,https://news.google.com/rss/articles/CBMi0AFBVV95cUxQY3A3aWJFaHk5SGJfeU5BUnNpY2V2LUtWNnpPanQ2M0J5MDFEZ1phU256d0hwU2ZwYmRBc1VnTVdwSkp5QlQwazY2SlNDUWZjM1Nlb20zcG41S3ZqUGRLY3otMHdYbktZT3Mxa1ZMeEhjbWlaa2U2MWlKMFNEeGRoR0xDbko4YnFpSmVSajlwNXVoOVVmYUY2WWJiWTB1dTAxZFZSbERIWFFOakpJYmlLWmNQdW9qX0Q5Z0RrRGh4QWIwaXlOaVlsbzhVOGFzNFNy?oc=5,"Tue, 17 Mar 2026 16:42:00 GMT",Burlington opening in Oshkosh this spring will have a new store design Oshkosh Northwestern
Burlington Stores,Ashwin Nair,Opening,Discount retailer Burlington to open new store in Avondale - KTAR News 92.3 FM,https://news.google.com/rss/articles/CBMigAFBVV95cUxPaGZCRldZRFBrbDd0QVBTVDVoYWRlbmF6bEs0cXVHOXZqQlg2VE8yQVVGdFE5c3RkZVJwUDhmM3pGMkRCbTlkR3JaWWhQUTlSQjJZakRWY3Frc2FqSWgzZi1jdUNMUmUyOFFkLWktLUJRMi1POXFyWUtISUFRYzVaWA?oc=5,"Thu, 19 Mar 2026 18:12:28 GMT",Discount retailer Burlington to open new store in Avondale KTAR News 92.3 FM
Burlington Stores,Ashwin Nair,Opening,Burlington to open Eau Claire location spring 2026 - WEAU,https://news.google.com/rss/articles/CBMihwFBVV95cUxOVkZEdFA4MGZIUllMOWUxQ1ZXUFRzWGZlaFZYc2VUbnBXZUtWdDR3S3QzamNQZ1pBSTN1ZDFiOGRxV09lM09VT09CYWZQSFlxdUVSZDZxN2tEX2E1Xzk4ZHZabldMU0dzMUR5blVndmdDZ3JzMTFtbVhpSC1CT1g2OGhaY3lyU03SAZsBQVVfeXFMUFhEdFltdERaZzN5aXVXcWJjd3JwSC1pU2twY3ktVUpEQTUzTHRpM3EtLV9taXh5QXlnNFZGMW00UFZnVVpsNExBbWJjTEtMeWZSTU9rTjVZa3h5QnY4NU9Od1ZXWXNNZkl2SkhVc2toM2dnZ2cxMldXaThSRS12eklRR05XNlhwTG5hV2R0X3FqT1RLOXd1aHZwdDg?oc=5,"Thu, 19 Mar 2026 15:42:00 GMT",Burlington to open Eau Claire location spring 2026 WEAU
Dollar Tree,Ashwin Nair,Opening,National discount store chain 'cheaper than Dollar Tree' to open 150 new locations - MSN,https://news.google.com/rss/articles/CBMi5gJBVV95cUxQVlE4X1puZ3B5RTREcnliRzJHWlhpSmFlYlZ1ZmNEb2ZWaFYtcDhLd2NzeHBQdVlQMG5PRVBiTkVUYlM4S09EOVdkcWZEZU9oLS1FcXhjTW1jeGtKV1pxdEV6T0FkS1ZMOTFpUTRZRC1GbUYtd3BhZklsd1hpWmNiSlVGcjFDWTZqT0VfQ050VUxRRDc5SmRRVkJLMTZyQ092ZFZEcVpKU05jblZQbDdxOFlYcUgtMmF4QmdGdGRjZzh1NkhHdmdWeGt4cEhVbnJuVC1HSGNDNjRrNlJMUEdITDYyQnpyczhxUW0tWkgtd0d5d3V4UTF1dnp4WjVSOUpDaEpiek1LQ0t2SFlGNlpESThCcUVQTWJXY3VFYlVPeGhkRWxjLXFySkFqNlBFZDBkOU5kZl9hMnVUUjlNbFNLU3lweXJtY3BDMTFJX3NaYTVkQ2JsMHZJQ1VCUzhnSWt1Z2pweW9R?oc=5,"Wed, 18 Mar 2026 23:12:05 GMT",National discount store chain 'cheaper than Dollar Tree' to open 150 new locations MSN
Dollar Tree,Ashwin Nair,Opening,Are new Dollar Tree stores coming to Ohio? 400 planned in 2026 - Cincinnati Enquirer,https://news.google.com/rss/articles/CBMipgFBVV95cUxPTW5BalBuaFlkSzE3V2xZWk5LYWxYVFVDQTB6RkZkVzA0dDFfbW5Oa1p2ZXdZbThtSnFtWnY5WGZQNGtUOWN2aWg3ZlZ2Yk11YXdLczFWaTdkdVFTMkJZVFNTSXMzUkZYZHpKVGpESS1YcHlvQXJKejBuaGhHWlJxb2NDaVhlZTRkYmxXYUgzSE10V2lXc0dIQnV4ZVA5OGF1alRvU0dB?oc=5,"Tue, 17 Mar 2026 19:06:00 GMT",Are new Dollar Tree stores coming to Ohio? 400 planned in 2026 Cincinnati Enquirer
Dollar Tree,Ashwin Nair,Opening,Dollar Tree confirms 400 new locations to open up in 2026 - The US Sun,https://news.google.com/rss/articles/CBMigwFBVV95cUxNSUNTYzFUY0c5aHpRMmdET25CUHVNMGgyZmwwQUdSQ0F2SEk5T3Z2UExqZU40MDlyR2JuZWZxeFVINmtVRnRPNWFvdVB5a1d4N2s2RktxMlI0bEs4VldzcFVUd2lXSXRsWmhXY2xzeHF4dV9wM3pYTU5RQjFMWDRtUkQtZw?oc=5,"Tue, 17 Mar 2026 13:07:41 GMT",Dollar Tree confirms 400 new locations to open up in 2026 The US Sun
